file_name,formula,formation_energy
ICSD-628469.cif,Cu2 Nb6 S8,-0.7882975078124996
ICSD-391382.cif,Na8 Te8 O28,-1.2610448862121215
ICSD-257146.cif,Ba8 Sc4 Ir4 O24,-2.365544261
ICSD-290491.cif,Li4 Ru8 O16,-1.307285996904762
ICSD-405782.cif,Pb4 Co2 Te2 O12,-1.1698219526666669
ICSD-628791.cif,Cu4 S8,-0.2841068133333333
ICSD-412940.cif,Re2 I12 N4 H16,-0.2863339142647063
ICSD-291311.cif,Ca2 Cu6 Rh8 O24,-1.055726969125
ICSD-405777.cif,Ta6 F18 O9 Li6,-3.173528504294872
ICSD-416605.cif,Ga4 Rb8 K4 F24,-2.8109884486250003
ICSD-259122.cif,Na6 Ti9 Cl24,-1.4565476333333331
ICSD-616936.cif,Bi6 Pb3 Te12,-0.2866268444047614
ICSD-626708.cif,Cr12 Se18,-0.2550612363333338
ICSD-263778.cif,Ba8 Ca4 Te4 O24,-2.3850788056666667
ICSD-626229.cif,La4 Cr4 Se12,-1.0861835340000006
ICSD-760220.cif,Cs4 Ge4 Na4 F24,-2.737254706111111
ICSD-616163.cif,Ba4 Te4,-1.7903493383333338
ICSD-633095.cif,Fe6 P6 Se18,-0.4906501972857143
ICSD-418474.cif,Tl2 Sc2 S4,-1.5255188724999995
ICSD-264198.cif,Bi Br Te,-0.5100044505555553
ICSD-651529.cif,Sb6 Se6 Te3,-0.1933481766666664
ICSD-651938.cif,Sn4 Tl16 Se12,-0.3498010542187502
ICSD-600243.cif,Pb4 S4,-0.6807551049999998
ICSD-651203.cif,Ti S2,-1.4757923255555558
ICSD-261469.cif,Ti4 K8 F20,-3.080169875989584
ICSD-620234.cif,Cd6 P6 Se18,-0.312413291285714
ICSD-254310.cif,Sc4 Co4 O12,-2.7028377160000003
ICSD-253188.cif,Na3 Cr3 O6,-1.712967010000001
ICSD-428575.cif,Pt3 Na6 F18,-2.1611467852777784
ICSD-653213.cif,Zr Te2,-0.9518745544444442
ICSD-281038.cif,K4 Sn4 As4 S20,-0.6695844695312498
ICSD-412328.cif,La3 Sn Ga5 O14,-2.3754064209782606
ICSD-413874.cif,Tl8 Ca4 O16,-1.3338025257142847
ICSD-604993.cif,Cr3 Ag3 Se6,-0.0793983600000001
ICSD-280099.cif,Ta8 Na8 O24,-2.72082749025
ICSD-410392.cif,Ni6 F18 Cs6,-2.0928242500833334
ICSD-259367.cif,Pd4 Hg2 Se6,-0.3491245541666667
ICSD-412254.cif,O6 H12 N18 Li6,-0.5372064294047625
ICSD-406722.cif,Ru2 Te4,-0.4304639161111107
ICSD-264747.cif,Na8 Nb8 O24,-2.5973773892500005
ICSD-626718.cif,Cr Se2,-0.3129730494444451
ICSD-425703.cif,Mn8 P4 F8 O12 H4,-1.782106157799215
ICSD-652213.cif,Zn4 Se8,-0.326327038611111
ICSD-412285.cif,Zr4 Se16 Cl24,-0.9647748735606062
ICSD-256029.cif,Li4 F12 Ti2,-3.266965539537037
ICSD-254370.cif,Ta6 Ba3 V6 O33,-2.8163551167708336
ICSD-410934.cif,Mn12 Si4 O16 F8,-2.063375704189656
ICSD-609280.cif,Al6 Zn3 S12,-1.062945909285714
ICSD-413082.cif,Ag6 Mo2 Cl F3 O7,-1.2937161422368415
ICSD-414042.cif,Ru4 Br12,-0.49660194875
ICSD-423430.cif,Pb12 B6 O18 F6,-1.9251898073214293
ICSD-624859.cif,Co8 S8 Sb8,-0.7923463533333331
ICSD-434114.cif,Os6 Sr10 O26,-1.9678511183333336
ICSD-420953.cif,Sc6 Al6 O10 C4,-2.303355504038462
ICSD-419683.cif,Sc6 Al6 O6 C6,-1.6943006952083337
ICSD-257078.cif,Pb8 Co8 O24,-1.29876254275
ICSD-409840.cif,W4 K8 Cl24,-1.3115900119444446
ICSD-413464.cif,In2 Ba2 Co8 O14,-1.6093648134615388
ICSD-257851.cif,V4 Na8 Ca4 F4 O16,-2.672019064305556
ICSD-650286.cif,Rh8 Se16,-0.5328421906944444
ICSD-602266.cif,In2 Se3,-0.4805404640000006
ICSD-258693.cif,Sr4 Cu2 Te2 O12,-1.7983399799166668
ICSD-416147.cif,Hg4 Cr4 O16,-1.2527889212500003
ICSD-408193.cif,Ag2 Ba Mn V2 O8,-1.9342974295689663
ICSD-652055.cif,Ti12 Se12,-0.9498571108333328
ICSD-300207.cif,In4 Sb4 S12,-0.5714196999999999
ICSD-409671.cif,Ga4 O8 H4,-1.5120880946875
ICSD-611203.cif,Pd4 As4 Se4,-0.3714311455555552
ICSD-409632.cif,W4 Rb8 Cl24,-1.3369621511111107
ICSD-619570.cif,Ca4 Se4,-2.029400938333333
ICSD-617052.cif,Bi3 Tl3 S6,-0.5542796837500005
ICSD-416170.cif,V4 O20 Na20,-1.923865282272727
ICSD-417150.cif,Ta8 Fe2 S16,-1.3017309738461544
ICSD-651059.cif,S4 Sr4,-2.28796551875
ICSD-419862.cif,Mg3 Ba9 Si6 O24,-2.9429503101190475
ICSD-257251.cif,Li4 Fe4 P4 O16,-2.22300989329932
ICSD-259381.cif,Ba8 Mg4 Os4 O24,-2.1812702987499994
ICSD-603572.cif,Ta2 O4,-2.6447044633333348
ICSD-426821.cif,Li8 B4 F20,-2.939346915364584
ICSD-279639.cif,Sb4 Cl24 N4 C4,-0.3500190705555555
ICSD-261371.cif,Na4 Ir4 O12,-1.1051316720000002
ICSD-430096.cif,La8 Bi4 Cu4 S20,-1.4967491855555557
ICSD-619354.cif,Ca4 Hf4 S12,-1.976696742
ICSD-280395.cif,Zr2 P4 O14,-2.71274939945238
ICSD-291488.cif,Ba8 Y4 Os4 O24,-2.4515520820000005
ICSD-416221.cif,La12 N4 S12,-2.051341438928571
ICSD-650233.cif,Rh4 Sb4 S4,-0.7453965666666663
ICSD-604401.cif,Ag3 In3 Se6,-0.3424484154166668
ICSD-252881.cif,Na Cr Te2,-0.1530735533333329
ICSD-426618.cif,Li4 In2 Mo6 O16,-1.9812652847619048
ICSD-427048.cif,Sb8 Ni6 F12 O12,-1.629920508026316
ICSD-638009.cif,Ge12 Te12,-0.0757156241666662
ICSD-268018.cif,Rb8 Co4 F24,-2.415445687222222
ICSD-410924.cif,Fe6 Br18,-0.6908701608333333
ICSD-416038.cif,Rb3 Na Ru2 O8,-1.3398601882142858
ICSD-638851.cif,Hf S2,-1.829953803333333
ICSD-401590.cif,Zr4 Se16 Cl24,-0.9647128633333334
ICSD-290590.cif,Zn4 Cr8 O16,-1.6860960114285717
ICSD-600773.cif,Cd2 S2,-0.6375040875
ICSD-410389.cif,Co9 F27 Cs9,-2.42414872475
ICSD-279600.cif,Pb4 Ga4 O16 B4,-1.9123803316071428
ICSD-603955.cif,La6 Ni2 Fe2 S14,-1.6386638170833323
ICSD-300182.cif,K12 Sb4 Te12,-0.7914003174999996
ICSD-416326.cif,Ba4 Sc8 Te16,-1.422707069880952
ICSD-608507.cif,Al6 Mn3 S12,-1.0222509705665026
ICSD-281176.cif,Cs2 Cd2 Br6,-1.2891533435
ICSD-652075.cif,Se6 Y3 Tl3,-1.4058502870833334
ICSD-254956.cif,Mo S2,-0.76351538
ICSD-410591.cif,Cs10 Nb4 Cl18 S8,-1.6067408269375
ICSD-433032.cif,Na4 F12 H8,-2.060107371041666
ICSD-619542.cif,Ca8 Si4 S16,-1.7093194757142862
ICSD-254378.cif,Y10 Mo4 O24,-3.1321152273684207
ICSD-281126.cif,Ba6 Li2 Ru4 O18,-1.919066566222223
