file_name,formula,atom_num,formation_energy,B_element,X_element,sites,perovskite_judge
ICSD-628469.cif,Cu2 Nb6 S8,16,-0.7882975078124996,['Nb'],['S'],"[0, 1, 2, 3, 4, 5]",perovskite
ICSD-391382.cif,Na8 Te8 O28,44,-1.2610448862121215,['Te'],['O'],"[12, 13, 14, 15]",perovskite
ICSD-257146.cif,Ba8 Sc4 Ir4 O24,40,-2.365544261,"['Sc', 'Ir']",['O'],"[8, 9, 10, 11, 12, 13, 14, 15]",perovskite
ICSD-290491.cif,Li4 Ru8 O16,28,-1.307285996904762,['Ru'],['O'],"[4, 5, 6, 7, 8, 9, 10, 11]",perovskite
ICSD-405782.cif,Pb4 Co2 Te2 O12,20,-1.1698219526666669,"['Te', 'Co']",['O'],"[0, 1, 2, 3]",perovskite
ICSD-628791.cif,Cu4 S8,12,-0.2841068133333333,['Cu'],['S'],"[0, 1, 2, 3]",perovskite
ICSD-412940.cif,Re2 I12 N4 H16,34,-0.2863339142647063,['Re'],['I'],"[0, 1]",perovskite
ICSD-291311.cif,Ca2 Cu6 Rh8 O24,40,-1.055726969125,['Rh'],['O'],"[8, 9, 10, 11, 12, 13, 14, 15]",perovskite
ICSD-405777.cif,Ta6 F18 O9 Li6,39,-3.173528504294872,['Ta'],"['O', 'F']","[6, 7, 8, 9, 10, 11]",perovskite
ICSD-416605.cif,Ga4 Rb8 K4 F24,40,-2.8109884486250003,"['K', 'Ga']",['F'],"[0, 1, 2, 3, 12, 13, 14, 15]",perovskite
ICSD-259122.cif,Na6 Ti9 Cl24,39,-1.4565476333333331,['Ti'],['Cl'],"[6, 7, 8, 9, 10, 11, 12, 13, 14]",perovskite
ICSD-616936.cif,Bi6 Pb3 Te12,21,-0.2866268444047614,"['Bi', 'Pb']",['Te'],"[0, 1, 2, 3, 4, 5, 12, 13, 14, 15, 16, 17, 18, 19, 20]",perovskite
ICSD-626708.cif,Cr12 Se18,30,-0.2550612363333338,['Cr'],['Se'],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",perovskite
ICSD-263778.cif,Ba8 Ca4 Te4 O24,40,-2.3850788056666667,"['Te', 'Ca']",['O'],"[8, 9, 10, 11, 12, 13, 14, 15]",perovskite
ICSD-626229.cif,La4 Cr4 Se12,20,-1.0861835340000006,['Cr'],['Se'],"[4, 5, 6, 7]",perovskite
ICSD-760220.cif,Cs4 Ge4 Na4 F24,36,-2.737254706111111,"['Na', 'Ge']",['F'],"[4, 5, 6, 7, 8, 9, 10, 11]",perovskite
ICSD-616163.cif,Ba4 Te4,8,-1.7903493383333338,['Ba'],['Te'],"[0, 1, 2, 3, 4, 5, 6, 7]",perovskite
ICSD-633095.cif,Fe6 P6 Se18,30,-0.4906501972857143,['Fe'],['Se'],"[0, 1, 2, 3, 4, 5]",perovskite
ICSD-418474.cif,Tl2 Sc2 S4,8,-1.5255188724999995,['Sc'],['S'],"[0, 1]",perovskite
ICSD-264198.cif,Bi Br Te,3,-0.5100044505555553,['Bi'],"['Br', 'Te']",[0],perovskite
ICSD-651529.cif,Sb6 Se6 Te3,15,-0.1933481766666664,['Te'],['Sb'],"[6, 7, 8]",anti-perovskite
ICSD-651938.cif,Sn4 Tl16 Se12,32,-0.3498010542187502,['Sn'],['Se'],"[16, 17, 18, 19]",perovskite
ICSD-600243.cif,Pb4 S4,8,-0.6807551049999998,['Pb'],['S'],"[0, 1, 2, 3, 4, 5, 6, 7]",perovskite
ICSD-651203.cif,Ti S2,3,-1.4757923255555558,['Ti'],['S'],[0],perovskite
ICSD-261469.cif,Ti4 K8 F20,32,-3.080169875989584,['Ti'],['F'],"[8, 9, 10, 11]",perovskite
ICSD-620234.cif,Cd6 P6 Se18,30,-0.312413291285714,['Cd'],['Se'],"[0, 1, 2, 3, 4, 5]",perovskite
ICSD-254310.cif,Sc4 Co4 O12,20,-2.7028377160000003,['Co'],['O'],"[4, 5, 6, 7]",perovskite
ICSD-253188.cif,Na3 Cr3 O6,12,-1.712967010000001,"['Na', 'Cr']",['O'],"[0, 1, 2, 3, 4, 5]",perovskite
ICSD-428575.cif,Pt3 Na6 F18,27,-2.1611467852777784,"['Na', 'Pt']",['F'],"[0, 1, 2, 3, 4, 5, 6, 7, 8]",perovskite
ICSD-653213.cif,Zr Te2,3,-0.9518745544444442,['Zr'],['Te'],[0],perovskite
ICSD-281038.cif,K4 Sn4 As4 S20,32,-0.6695844695312498,['Sn'],['S'],"[4, 5, 6, 7]",perovskite
ICSD-412328.cif,La3 Sn Ga5 O14,23,-2.3754064209782606,['Sn'],['O'],[8],perovskite
ICSD-413874.cif,Tl8 Ca4 O16,28,-1.3338025257142847,['Tl'],['O'],"[4, 5, 6, 7, 8, 9, 10, 11]",perovskite
