index,Prototype ICSD-id,B_Octa,X_Octa,E_g (eV),Direct E_g (eV),m_h^*,m_e^*,Space group,file_name
Ag2BiCl9Rb4,ICSD-403158,Bi,Cl,3.99,4.08,2.462,0.902,Pnnm,ICSD-403158_X_Br_Cl.cif
Ag2Br9Rb4Sb,ICSD-403158,Sb,Br,3.23,3.23,2.339,0.692,Pnnm,ICSD-403158_B_Bi_Sb.cif
Ag2CoKO8V2,ICSD-194591,Co,O,1.874,1.904,2.989,18.654,P-3,ICSD-194591_B_Fe_Co.cif
Ag2CoO8RbV2,ICSD-194588,Co,O,1.942,1.959,3.496,18.173,P-3,ICSD-194588_B_Fe_Co.cif
Ag3Fe2O6Sb,ICSD-174288,Fe/Sb,O,0.319,0.319,11.66,0.462,P3_112,ICSD-174288_B_Co_Fe.cif
AlBaKS3,ICSD-234998,K,S,4.043,4.043,1.493,0.925,Pnma,ICSD-234998_B_Na_K.cif
AlBaNaS3,ICSD-234999,Na,S,3.685,3.685,0.877,0.66,Pnma,ICSD-234999_X_Se_S.cif
AlFeLa3O7,ICSD-607565,Fe,O,2.271,2.3,5.099,3.521,P6_3,ICSD-607565_X_S_O.cif
AlHO4Se,ICSD-422882,Al,O,5.479,5.479,1.533,2.159,Pnma,ICSD-422882_B_Ga_Al.cif
AlKO6Se2,ICSD-250870,Al,O,5.451,5.518,4.067,1.448,Pnma,ICSD-250870_B_Ga_Al.cif
AlLa3RuS7,ICSD-608317,Ru,S,1.485,1.61,6.115,1.218,P6_3,ICSD-608317_B_Ni_Ru.cif
AlNaO6Se2,ICSD-250869,Al,O,5.122,5.123,1.999,2.472,Pnma,ICSD-250869_B_Ga_Al.cif
Al2O9Te3,ICSD-261175,Al,O,5.097,5.123,6.409,1.29,P6_3/m,ICSD-261175_B_Ga_Al.cif
AsCaLiO4,ICSD-262123,Li/Ca,O,5.535,5.535,4.082,0.574,Pnma,ICSD-262123_B_Na_Li.cif
AsCdFeHO5,ICSD-252665,Fe,O,0.807,0.813,17.737,0.397,Pnma,ICSD-252665_B_Co_Fe.cif
AsCoHgO5,ICSD-131797,Co,O,1.436,1.442,9.03,1.12,Pnma,ICSD-131797_B_Fe_Co.cif
AsK3O3,ICSD-610764,K,O,4.683,4.687,21.859,1.684,P2_13,ICSD-610764_X_S_O.cif
AsNa3O3,ICSD-1036,Na,O,4.771,4.963,10.597,1.253,P2_13,ICSD-1036_X_S_O.cif
As3FO9Pb5,ICSD-158900,F,Pb,3.609,3.616,3.728,1.058,P6_3/m,ICSD-158900_B_Cl_F.cif
BCoO4Pb,ICSD-97665,Co,O,1.848,1.916,3.596,1.259,Pnma,ICSD-97665_B_Fe_Co.cif
BInNi2O5,ICSD-69616,In,O,1.176,1.212,1.546,2.323,Pbam,ICSD-69616_B_Ga_In.cif
B2Ca4O25S6,ICSD-3029,Ca,O,7.736,7.736,82.147,0.618,P-3,ICSD-3029_B_Mg_Ca.cif
B2Cd4O25S6,ICSD-3026,Cd,O,3.708,3.708,15.838,0.676,P-3,ICSD-3026_B_Zn_Cd.cif
B2K3O6Sc,ICSD-245925,Sc,O,3.271,3.271,2.026,0.59,Pnnm,ICSD-245925_B_Y_Sc.cif
B3FeLaO7,ICSD-140990,Fe,O,2.719,2.719,11.234,1.616,Cmme,ICSD-140990_B_Ni_Fe.cif
B6Ca2K5La3O18,ICSD-112738,Ca,O,3.711,3.722,5.084,0.636,P31m,ICSD-112738_B_Mg_Ca.cif
BaCaLi2O8P2,ICSD-236294,Ca,O,7.312,7.312,4.463,0.517,P-3,ICSD-236294_B_Mg_Ca.cif
BaCaNa2O8P2,ICSD-262716,Ca,O,6.46,6.51,7.971,0.508,P-3,ICSD-262716_B_Mg_Ca.cif
BaGaNaS3,ICSD-235001,Na,S,3.439,3.439,0.812,0.619,Pnma,ICSD-235001_X_Se_S.cif
Ba3CaO8Si2,ICSD-419862,Ca,O,6.159,6.163,8.373,0.451,P-3,ICSD-419862_B_Mg_Ca.cif
Ba5FSb3,ICSD-199809,F,Ba,0.746,0.746,0.141,0.602,P6_3/mcm,ICSD-199809_B_Cl_F.cif
Ba6Li2Nb2O17P2,ICSD-249742,Nb,O,3.18,3.18,3.574,1.781,P-3m1,ICSD-249742_B_Na_Li.cif
Ba6N6Re2S,ICSD-419636,S,Ba,0.059,0.09,0.397,2.593,R-3,ICSD-419636_B_O_S.cif
Be3CdF9K,ICSD-18022,Cd,F,5.745,5.745,8.883,0.871,P-6c2,ICSD-18022_B_Zn_Cd.cif
Be3CdF9Rb,ICSD-23133,Cd,F,5.769,5.769,11.043,0.856,P-6c2,ICSD-23133_B_Zn_Cd.cif
BiCl8F4H3Rb6,ICSD-39524,Bi/Rb,Cl,5.215,5.22,16.972,4.025,P6_3mc,ICSD-39524_B_K_Rb.cif
BiCoSe,ICSD-616878,Co,Se,0.35,0.448,0.384,1.605,P2_13,ICSD-616878_B_Ni_Co.cif
BiCsK2Se3,ICSD-85412,Cs,Se,2.985,3.0,6.908,5.718,P2_13,ICSD-85412_B_Rb_Cs.cif
BiCuP2S6,ICSD-195341,Bi/Cu,S,1.461,1.591,6.463,1.204,P-31c,ICSD-195341_X_Se_S.cif
BiFeO4Sb,ICSD-155236,Fe,O,1.282,1.287,4.151,1.643,P-1,ICSD-155236_X_S_O.cif
BiK2RbS3,ICSD-85412,Rb,S,3.458,3.46,13.168,5.846,P2_13,ICSD-85412_X_Se_S.cif
BiRb3Te3,ICSD-300183,Rb,Te,2.196,2.212,4.538,3.38,P2_13,ICSD-300183_B_K_Rb.cif
Bi2Br6Cl3Cs3,ICSD-130352,Bi,Cl/Br,3.518,3.526,1.491,0.526,P-3m1,ICSD-130352_X_I_Br.cif
Bi2Co2Ga2O9,ICSD-37087,Co,O,1.918,1.918,2.783,0.909,Pbam,ICSD-37087_B_Fe_Co.cif
Bi2Rb2S5Zn,ICSD-267980,Bi,S,2.33,2.47,1.952,0.528,Pnma,ICSD-267980_X_Se_S.cif
Bi3F18In,ICSD-421923,Bi/In,F,4.024,4.024,56.231,1.055,P-3c1,ICSD-421923_B_Sb_Bi.cif
BrHg2NaO2,ICSD-14125,Br,Hg,1.654,1.825,1.957,0.511,C222,ICSD-14125_B_I_Br.cif
Br8Pt3,ICSD-60761,Pt,Br,1.345,1.345,22.945,3.348,P4_12_12,ICSD-60761_X_I_Br.cif
C2Cl6CoH12KN2,ICSD-133476,Co,Cl,2.124,2.211,3.983,3.822,P-3,ICSD-133476_B_Ru_Co.cif
CaClNa2O4V,ICSD-257851,Cl,Na/Ca,3.379,3.428,1.503,10.575,Pnma,ICSD-257851_B_F_Cl.cif
CaFK2O4V,ICSD-257851,Ca,F/O,3.969,3.972,5.69,10.432,Pnma,ICSD-257851_X_Na_K.cif
CaLiO12Re3,ICSD-101356,Li,O,4.038,4.039,12.282,25.843,P6_3/m,ICSD-101356_B_Na_Li.cif
CaO9Sr3Ta2,ICSD-194992,Ta/Ca,O,3.435,3.592,2.282,0.825,P-3m1,ICSD-194992_B_Mg_Ca.cif
Ca2CoGaO5,ICSD-6320,Co,O,2.01,2.01,1.937,0.784,Pnma,ICSD-6320_B_Fe_Co.cif
Ca3F2O4Si,ICSD-252073,Ca,F/O,6.672,6.673,13.822,0.531,Pnma,ICSD-252073_B_Mg_Ca.cif
CdF4Na2,ICSD-69344,Cd,F,3.919,3.999,10.598,0.575,Pbam,ICSD-69344_X_Cl_F.cif
CdHI2NaO7,ICSD-17614,Cd,O,3.136,3.136,3.249,0.769,Pnma,ICSD-17614_B_Zn_Cd.cif
ClInRb6Te4,ICSD-79543,Cl,Rb,2.692,2.692,6.832,0.329,Cmc2_1,ICSD-79543_X_K_Rb.cif
Cl11CsV4,ICSD-26076,V,Cl,0.822,0.833,5.608,5.319,Pmma,ICSD-26076_B_Nb_V.cif
Cl11RbV4,ICSD-412126,V,Cl,0.808,0.841,5.532,5.013,Pmma,ICSD-412126_B_Nb_V.cif
Cl3KRu,ICSD-167455,Ru,Cl,1.978,2.011,3.016,6.533,P6_3cm,ICSD-167455_B_Ni_Ru.cif
Cl4KSc,ICSD-402273,K/Sc,Cl,4.276,4.302,7.982,22.828,Pbcn,ICSD-402273_B_Na_K.cif
Cl8F4H3K6Sb,ICSD-39524,Sb/K,Cl,4.44,4.452,11.459,2.683,P6_3mc,ICSD-39524_B_Bi_Sb.cif
Cl9Cs3Rh2,ICSD-201057,Rh,Cl,2.254,2.254,18.234,3.63,P6_3/mmc,ICSD-201057_B_Ru_Rh.cif
Cl9Nb2Rb5S4,ICSD-410591,Rb,Cl,1.777,1.777,3.22,6.446,Immm,ICSD-410591_B_Cs_Rb.cif
CoFeLa3O7,ICSD-603954,Co,O,0.865,0.972,5.212,6.363,P6_3,ICSD-603954_X_S_O.cif
CoKO6Se2,ICSD-67916,Co,O,1.904,1.904,2.612,4.623,Pnma,ICSD-67916_B_Fe_Co.cif
CoLa3O9W,ICSD-380405,Co,O,3.001,3.062,3.371,10.777,P6_3/m,ICSD-380405_X_S_O.cif
CoNaO6Se2,ICSD-81559,Co,O,2.067,2.075,3.646,5.264,Pnma,ICSD-81559_B_Fe_Co.cif
CoOSb,ICSD-624859,Co,O,0.909,0.928,1.267,1.122,Pbca,ICSD-624859_X_S_O.cif
Co2H3O9P3,ICSD-66541,Co,O,2.488,2.584,4.069,13.555,P6_3/m,ICSD-66541_B_Fe_Co.cif
Co2KO3,ICSD-248051,Co,O,0.027,0.027,1.739,0.284,P-3m1,ICSD-248051_B_Pd_Co.cif
Co4Cu3LaO12,ICSD-290761,Co,O,0.678,0.782,4.179,1.518,Im-3,ICSD-290761_B_Fe_Co.cif
CsCuLa2S4,ICSD-93680,La,S,0.512,0.512,3.654,0.717,Cmcm,ICSD-93680_X_Se_S.cif
