feature,stage,complexity,formula,parents,template_rule,required_manuscript_template,protected_anchor,family,unit_group,parent_families,parent_unit_groups,parent_scopes
B_ionic_radius,raw,0,B_ionic_radius,,source_feature,False,True,ionic_radius,length_like,,,
B_shannon_rad,raw,0,B_shannon_rad,,source_feature,False,True,shannon_radius,length_like,,,
DemlData maximum atom_mass _B,raw,0,DemlData maximum atom_mass _B,,source_feature,False,False,other,dimensionless,,,
DemlData maximum atom_mass _X,raw,0,DemlData maximum atom_mass _X,,source_feature,False,False,other,dimensionless,,,
DemlData maximum atom_mass formula,raw,0,DemlData maximum atom_mass formula,,source_feature,False,False,other,dimensionless,,,
DemlData maximum atom_num _B,raw,0,DemlData maximum atom_num _B,,source_feature,False,False,other,dimensionless,,,
DemlData maximum atom_num _X,raw,0,DemlData maximum atom_num _X,,source_feature,False,False,other,dimensionless,,,
DemlData maximum atom_num formula,raw,0,DemlData maximum atom_num formula,,source_feature,False,False,other,dimensionless,,,
DemlData maximum atom_radius _B,raw,0,DemlData maximum atom_radius _B,,source_feature,False,False,other,dimensionless,,,
DemlData maximum atom_radius _X,raw,0,DemlData maximum atom_radius _X,,source_feature,False,False,other,dimensionless,,,
DemlData maximum atom_radius formula,raw,0,DemlData maximum atom_radius formula,,source_feature,False,False,other,dimensionless,,,
DemlData maximum boiling_point _B,raw,0,DemlData maximum boiling_point _B,,source_feature,False,False,other,dimensionless,,,
DemlData maximum boiling_point _X,raw,0,DemlData maximum boiling_point _X,,source_feature,False,False,other,dimensionless,,,
DemlData maximum boiling_point formula,raw,0,DemlData maximum boiling_point formula,,source_feature,False,False,other,dimensionless,,,
DemlData maximum col_num _B,raw,0,DemlData maximum col_num _B,,source_feature,False,False,other,dimensionless,,,
DemlData maximum col_num _X,raw,0,DemlData maximum col_num _X,,source_feature,False,False,other,dimensionless,,,
DemlData maximum col_num formula,raw,0,DemlData maximum col_num formula,,source_feature,False,False,other,dimensionless,,,
DemlData maximum electronegativity _B,raw,0,DemlData maximum electronegativity _B,,source_feature,False,False,other,dimensionless,,,
DemlData maximum electronegativity _X,raw,0,DemlData maximum electronegativity _X,,source_feature,False,False,other,dimensionless,,,
DemlData maximum electronegativity formula,raw,0,DemlData maximum electronegativity formula,,source_feature,False,False,other,dimensionless,,,
DemlData maximum first_ioniz _B,raw,0,DemlData maximum first_ioniz _B,,source_feature,False,False,other,dimensionless,,,
DemlData maximum first_ioniz _X,raw,0,DemlData maximum first_ioniz _X,,source_feature,False,False,other,dimensionless,,,
DemlData maximum first_ioniz formula,raw,0,DemlData maximum first_ioniz formula,,source_feature,False,False,other,dimensionless,,,
DemlData maximum melting_point _B,raw,0,DemlData maximum melting_point _B,,source_feature,False,False,other,dimensionless,,,
DemlData maximum melting_point _X,raw,0,DemlData maximum melting_point _X,,source_feature,False,False,other,dimensionless,,,
DemlData maximum melting_point formula,raw,0,DemlData maximum melting_point formula,,source_feature,False,False,other,dimensionless,,,
DemlData maximum molar_vol _B,raw,0,DemlData maximum molar_vol _B,,source_feature,False,False,other,dimensionless,,,
DemlData maximum molar_vol _X,raw,0,DemlData maximum molar_vol _X,,source_feature,False,False,other,dimensionless,,,
DemlData maximum molar_vol formula,raw,0,DemlData maximum molar_vol formula,,source_feature,False,False,other,dimensionless,,,
DemlData maximum row_num _B,raw,0,DemlData maximum row_num _B,,source_feature,False,False,other,dimensionless,,,
DemlData maximum row_num _X,raw,0,DemlData maximum row_num _X,,source_feature,False,False,other,dimensionless,,,
DemlData maximum row_num formula,raw,0,DemlData maximum row_num formula,,source_feature,False,False,other,dimensionless,,,
DemlData mean atom_mass _B,raw,0,DemlData mean atom_mass _B,,source_feature,False,False,other,dimensionless,,,
DemlData mean atom_mass _X,raw,0,DemlData mean atom_mass _X,,source_feature,False,False,other,dimensionless,,,
DemlData mean atom_mass formula,raw,0,DemlData mean atom_mass formula,,source_feature,False,False,other,dimensionless,,,
DemlData mean atom_num _B,raw,0,DemlData mean atom_num _B,,source_feature,False,False,other,dimensionless,,,
DemlData mean atom_num _X,raw,0,DemlData mean atom_num _X,,source_feature,False,False,other,dimensionless,,,
DemlData mean atom_num formula,raw,0,DemlData mean atom_num formula,,source_feature,False,False,other,dimensionless,,,
DemlData mean atom_radius _B,raw,0,DemlData mean atom_radius _B,,source_feature,False,False,other,dimensionless,,,
