feature_set,n_features,split_id,mae,mse,rmse,r2
stage3_50,50,1,0.070829828030294,0.015058928210566707,0.1227148247383612,0.9793801592795356
stage3_50,50,2,0.0785433185618129,0.018324540628051937,0.1353681669671712,0.9774277321720984
stage3_50,50,3,0.0759639382616326,0.013822588340619895,0.11756950429690471,0.982852991055947
stage3_50,50,4,0.07873366019313623,0.01646060263775268,0.12829888011106208,0.9775026776846144
stage3_50,50,5,0.09948863008117932,0.036667714124411666,0.191488156616569,0.9538960210428534
automated_rfe_38,38,1,0.07220096542262264,0.014389762541188544,0.11995733633750186,0.980296432292146
automated_rfe_38,38,2,0.08429674900208661,0.021151976508283793,0.14543719093919474,0.9739448814283744
automated_rfe_38,38,3,0.0778707870494356,0.014934490265423461,0.12220675212697317,0.9814736696307774
automated_rfe_38,38,4,0.07673830344765913,0.015439915614032818,0.12425745697555869,0.9788976888795929
automated_rfe_38,38,5,0.10227175932883878,0.03724874508145289,0.1929993395881263,0.9531654644849511
manuscript_final_34,34,1,0.07450175440252725,0.014077992873822892,0.11865071796589725,0.9807233312581721
manuscript_final_34,34,2,0.08139578347649545,0.017915668250858344,0.13384942379725936,0.9779313833682063
manuscript_final_34,34,3,0.08172102334976855,0.015530525621941805,0.12462152952817505,0.9807342839717863
manuscript_final_34,34,4,0.08324187697763609,0.016695425701148646,0.1292107801274671,0.9771817362063122
manuscript_final_34,34,5,0.103119472851994,0.040275417245667765,0.20068736194805034,0.9493598923869554
