rank,feature,family,importance
1,MagpieData avg_dev Electronegativity formula,electronegativity,0.3497611819946088
2,PymatgenData std_dev X formula,other,0.08428646576581404
3,DemlData std_dev electronegativity formula,other,0.07863491934325288
4,MagpieData avg_dev NdValence formula,d_valence,0.05347065162142102
5,MagpieData range CovalentRadius formula,covalent_radius,0.04308843750322222
6,local_difference_in_NdValence_allsites,local_difference:d_valence,0.030646127622768117
7,MagpieData mean SpaceGroupNumber formula,other,0.03010896383445718
8,MagpieData mean NdValence formula,d_valence,0.027453409187124883
9,MagpieData maximum GSbandgap formula,bandgap,0.025759027944398667
10,MagpieData range NdValence formula,d_valence,0.021446235427707395
11,MagpieData maximum NdValence formula,d_valence,0.015850127413480488
12,MagpieData range NUnfilled formula,unfilled,0.014735469705435733
13,MagpieData range GSbandgap formula,bandgap,0.013444709094773622
14,MagpieData mean NUnfilled formula,unfilled,0.009862626941564593
15,DemlData mean first_ioniz formula,other,0.008443833654894307
16,MagpieData mode Electronegativity formula,electronegativity,0.007321705326335778
17,MagpieData range SpaceGroupNumber formula,other,0.00721096991358727
18,MagpieData avg_dev NUnfilled formula,unfilled,0.007098212974909093
19,DemlData minimum molar_vol formula,other,0.006688961880143044
20,local_difference_in_Electronegativity,local_difference:electronegativity,0.0064647840139576305
21,local_difference_in_CovalentRadius,local_difference:covalent_radius,0.00535205382789994
22,MagpieData maximum NdUnfilled formula,d_unfilled,0.0053219518502698035
23,MagpieData avg_dev GSbandgap formula,bandgap,0.004623734772235351
24,DemlData range first_ioniz formula,other,0.004500760936038239
25,MagpieData mean NsValence formula,s_valence,0.00437740021830973
26,MagpieData range NdUnfilled formula,d_unfilled,0.0042281338868664165
27,coval_r_B_coval_r_X,covalent_radius,0.0036574897838167002
28,MagpieData maximum NUnfilled formula,unfilled,0.003526967687708188
29,PymatgenData minimum thermal_conductivity formula,other,0.0033088695465256094
30,MagpieData mode SpaceGroupNumber formula,other,0.0032270123950555616
31,MagpieData avg_dev NsValence formula,s_valence,0.0031442146567375465
