rank,feature,family,importance
1,MagpieData avg_dev Electronegativity formula,electronegativity,0.312541130553148
2,PymatgenData std_dev X formula,other,0.10472164485125404
3,DemlData std_dev electronegativity formula,other,0.0870864081506765
4,(coval_r_B_coval_r_X)/(B_ionic_radius),covalent_radius,0.0778532719338424
5,MagpieData avg_dev NdValence formula,d_valence,0.04358598000055781
6,MagpieData range CovalentRadius formula,covalent_radius,0.043577645553053726
7,MagpieData mean NdValence formula,d_valence,0.034676387658682827
8,local_difference_in_NdValence_allsites,local_difference:d_valence,0.026670950724480412
9,MagpieData maximum NdValence formula,d_valence,0.015430571200486349
10,MagpieData range NdValence formula,d_valence,0.015426819333486603
11,MagpieData range NUnfilled formula,unfilled,0.014669876201454194
12,MagpieData mean SpaceGroupNumber formula,other,0.013387946824288278
13,(MagpieData maximum NUnfilled _B)/(MagpieData mean CovalentRadius _X),covalent_radius,0.012790734885851437
14,MagpieData maximum GSbandgap formula,bandgap,0.009757062910591521
15,(MagpieData maximum NUnfilled _B)/(MagpieData mean GSvolume_pa _X),unfilled,0.00974644226974808
16,MagpieData mean NUnfilled formula,unfilled,0.009571013944655532
17,MagpieData mean NsValence formula,s_valence,0.00717198996570208
18,DemlData minimum molar_vol formula,other,0.00690510369244156
19,MagpieData avg_dev NUnfilled formula,unfilled,0.006807010439183053
20,MagpieData avg_dev NsValence formula,s_valence,0.006228611535372681
21,MagpieData mean NValence formula,valence,0.0057684686882615265
22,MagpieData mode SpaceGroupNumber formula,other,0.005360877831886381
23,MagpieData minimum NValence formula,valence,0.005063622806627162
24,density,density,0.00487152678470003
25,MagpieData avg_dev GSbandgap formula,bandgap,0.004375170422129247
26,local_difference_in_Electronegativity,local_difference:electronegativity,0.004291219070245902
27,(MagpieData maximum SpaceGroupNumber _X)+(DemlData minimum molar_vol _B),other,0.004268307375012132
28,MagpieData range GSbandgap formula,bandgap,0.004178315185328482
29,(MagpieData maximum SpaceGroupNumber _X)/(MagpieData maximum CovalentRadius _B),covalent_radius,0.00410694676747061
30,(coval_r_B_coval_r_X)-(MagpieData mean CovalentRadius _X),covalent_radius,0.004040719437903193
31,local_difference_in_CovalentRadius,local_difference:covalent_radius,0.0040232108216582095
32,Electronegativity_B-6X,electronegativity_contrast,0.003995203196646543
33,DemlData range first_ioniz formula,other,0.003938268793359398
34,MagpieData range SpaceGroupNumber formula,other,0.0036990699045390805
35,DemlData mean boiling_point formula,other,0.0034203117955269313
36,DemlData mean first_ioniz formula,other,0.003417184733858265
37,std_dev ewald_site_energy,ewald,0.0032153050868626958
38,MagpieData maximum NdUnfilled formula,d_unfilled,0.0027491088905608274
39,MagpieData maximum MendeleevNumber formula,other,0.002731230273258838
40,MagpieData range NdUnfilled formula,d_unfilled,0.0025966656408043256
41,maximum neighbor distance variation,neighbor_distance,0.0024509179028155614
42,MagpieData maximum NUnfilled formula,unfilled,0.0023337188624712422
