number_removed,n_features,removed_feature,features,mean_mae,std_mae,sem_mae,mean_mse,std_mse,sem_mse,mean_rmse,std_rmse,sem_rmse,mean_r2,std_r2,sem_r2,MAE,MSE,RMSE,R2
0,38,EnX/rX,EnB/rB-6*EnX/rX | MagpieData mean NdValence formula | MagpieData minimum Electronegativity formula | MagpieData maximum GSbandgap formula | MagpieData range CovalentRadius formula | Electronegativity_B-6X | MagpieData mode Electronegativity formula | MagpieData range NdValence formula | local_difference_in_Electronegativity | MagpieData maximum NdValence formula | MagpieData range NUnfilled formula | MagpieData avg_dev GSbandgap formula | MagpieData avg_dev NUnfilled formula | mean neighbor distance variation | MagpieData mean NsUnfilled formula | local_difference_in_CovalentRadius | MagpieData mean NValence formula | EnB/SIrB | MagpieData mode GSvolume_pa _B | MagpieData mean NpValence formula | MagpieData mean NUnfilled formula | MagpieData maximum NdUnfilled formula | density | std_dev ewald_site_energy | MagpieData mean Electronegativity formula | ewald_energy_per_atom | (EnB-6*EnX)/coval_r_B-6X | local_difference_in_Electronegativity_allsites | local_difference_in_CovalentRadius_allsites | local_difference_in_NdValence_allsites | local_difference_in_GSbandgap_allsites | EnB/SIrB-6*EnX/SIrX | EnX/SIrX | EnB/rB | EnX/rX | SIr_B_SIr_X | cr_B_cr_X | (EnB-6*EnX)/SIr_B-6X,0.09048180161997402,0.008014363351115009,0.002534364218570318,0.023995940486061143,0.007702878187688937,0.0024358639611927017,0.15298729808694636,0.024306935432443357,0.007686527890517085,0.9673179249267596,0.010202940285400272,0.0032264530132553267,0.09048180161997402,0.023995940486061143,0.15298729808694636,0.9673179249267596
1,37,EnX/SIrX,EnB/rB-6*EnX/rX | MagpieData mean NdValence formula | local_difference_in_NdValence_allsites | local_difference_in_Electronegativity_allsites | MagpieData maximum GSbandgap formula | MagpieData minimum Electronegativity formula | Electronegativity_B-6X | MagpieData mode Electronegativity formula | MagpieData range NdValence formula | MagpieData range NUnfilled formula | MagpieData range CovalentRadius formula | MagpieData maximum NdValence formula | MagpieData avg_dev NUnfilled formula | MagpieData mean NsUnfilled formula | MagpieData maximum NdUnfilled formula | local_difference_in_Electronegativity | MagpieData mode GSvolume_pa _B | MagpieData avg_dev GSbandgap formula | mean neighbor distance variation | MagpieData mean NValence formula | MagpieData mean NpValence formula | local_difference_in_GSbandgap_allsites | local_difference_in_CovalentRadius | std_dev ewald_site_energy | density | (EnB-6*EnX)/coval_r_B-6X | EnB/SIrB | ewald_energy_per_atom | MagpieData mean Electronegativity formula | local_difference_in_CovalentRadius_allsites | MagpieData mean NUnfilled formula | EnB/SIrB-6*EnX/SIrX | SIr_B_SIr_X | EnB/rB | cr_B_cr_X | (EnB-6*EnX)/SIr_B-6X | EnX/SIrX,0.0903703921681864,0.008382527149797364,0.0026507878341559122,0.024158075877350825,0.00811533002727705,0.0025662926850151856,0.15335958029350477,0.025276768178525092,0.007993215933220487,0.9671119160056062,0.010728234759927152,0.0033925657114359507,0.0903703921681864,0.024158075877350825,0.15335958029350477,0.9671119160056062
2,36,(EnB-6*EnX)/SIr_B-6X,EnB/rB-6*EnX/rX | MagpieData mean NdValence formula | local_difference_in_NdValence_allsites | local_difference_in_Electronegativity_allsites | MagpieData maximum GSbandgap formula | MagpieData minimum Electronegativity formula | Electronegativity_B-6X | MagpieData mode Electronegativity formula | MagpieData maximum NdValence formula | MagpieData range NUnfilled formula | MagpieData range CovalentRadius formula | MagpieData range NdValence formula | MagpieData avg_dev NUnfilled formula | MagpieData mean NsUnfilled formula | local_difference_in_Electronegativity | MagpieData maximum NdUnfilled formula | MagpieData mode GSvolume_pa _B | MagpieData avg_dev GSbandgap formula | mean neighbor distance variation | MagpieData mean NValence formula | MagpieData mean NpValence formula | local_difference_in_GSbandgap_allsites | local_difference_in_CovalentRadius | std_dev ewald_site_energy | density | EnB/SIrB | ewald_energy_per_atom | MagpieData mean Electronegativity formula | (EnB-6*EnX)/coval_r_B-6X | local_difference_in_CovalentRadius_allsites | MagpieData mean NUnfilled formula | EnB/SIrB-6*EnX/SIrX | EnB/rB | SIr_B_SIr_X | cr_B_cr_X | (EnB-6*EnX)/SIr_B-6X,0.09066141816759074,0.007639093588000298,0.0024156934997268853,0.02422433299746494,0.007290270407297097,0.002305385924558224,0.15396074440593494,0.02281276352034775,0.007214029244709984,0.9670075995024735,0.009659994788675788,0.003054758571757241,0.09066141816759074,0.02422433299746494,0.15396074440593494,0.9670075995024735
3,35,cr_B_cr_X,EnB/rB-6*EnX/rX | MagpieData mean NdValence formula | local_difference_in_NdValence_allsites | local_difference_in_Electronegativity_allsites | MagpieData maximum GSbandgap formula | MagpieData minimum Electronegativity formula | Electronegativity_B-6X | MagpieData mode Electronegativity formula | MagpieData maximum NdValence formula | MagpieData range NUnfilled formula | MagpieData range CovalentRadius formula | MagpieData range NdValence formula | MagpieData avg_dev NUnfilled formula | MagpieData mean NsUnfilled formula | MagpieData maximum NdUnfilled formula | local_difference_in_Electronegativity | MagpieData mode GSvolume_pa _B | MagpieData avg_dev GSbandgap formula | mean neighbor distance variation | MagpieData mean NValence formula | MagpieData mean NpValence formula | local_difference_in_GSbandgap_allsites | local_difference_in_CovalentRadius | std_dev ewald_site_energy | density | (EnB-6*EnX)/coval_r_B-6X | ewald_energy_per_atom | EnB/SIrB | MagpieData mean Electronegativity formula | local_difference_in_CovalentRadius_allsites | EnB/SIrB-6*EnX/SIrX | MagpieData mean NUnfilled formula | EnB/rB | SIr_B_SIr_X | cr_B_cr_X,0.09020189594524305,0.007993597369854185,0.0025277974387070603,0.024152325284737985,0.0072988358450691146,0.0023080945538098254,0.1537070727214344,0.02294473970533689,0.007255763778856524,0.9671016932083258,0.009675658392938524,0.0030597118383410174,0.09020189594524305,0.024152325284737985,0.1537070727214344,0.9671016932083258
4,34,EnB/rB,EnB/rB-6*EnX/rX | MagpieData mean NdValence formula | local_difference_in_NdValence_allsites | local_difference_in_Electronegativity_allsites | MagpieData maximum GSbandgap formula | MagpieData minimum Electronegativity formula | Electronegativity_B-6X | MagpieData mode Electronegativity formula | MagpieData range NdValence formula | MagpieData range NUnfilled formula | MagpieData range CovalentRadius formula | MagpieData maximum NdValence formula | MagpieData avg_dev NUnfilled formula | MagpieData mean NsUnfilled formula | MagpieData maximum NdUnfilled formula | local_difference_in_Electronegativity | MagpieData mode GSvolume_pa _B | MagpieData avg_dev GSbandgap formula | mean neighbor distance variation | MagpieData mean NValence formula | local_difference_in_GSbandgap_allsites | MagpieData mean NpValence formula | local_difference_in_CovalentRadius | std_dev ewald_site_energy | EnB/SIrB-6*EnX/SIrX | density | EnB/SIrB | MagpieData mean Electronegativity formula | (EnB-6*EnX)/coval_r_B-6X | ewald_energy_per_atom | local_difference_in_CovalentRadius_allsites | MagpieData mean NUnfilled formula | SIr_B_SIr_X | EnB/rB,0.0894861962385758,0.007701429244187538,0.00243540576502617,0.023519230911277583,0.0073226343645820665,0.002315620306469914,0.15154274534857984,0.023537783317319295,0.007443300635424277,0.9679416444636917,0.009840887747114335,0.0031119619478924393,0.0894861962385758,0.023519230911277583,0.15154274534857984,0.9679416444636917
5,33,SIr_B_SIr_X,EnB/rB-6*EnX/rX | MagpieData mean NdValence formula | local_difference_in_NdValence_allsites | local_difference_in_Electronegativity_allsites | MagpieData maximum GSbandgap formula | MagpieData minimum Electronegativity formula | Electronegativity_B-6X | MagpieData mode Electronegativity formula | MagpieData range NdValence formula | MagpieData range NUnfilled formula | MagpieData range CovalentRadius formula | MagpieData maximum NdValence formula | MagpieData avg_dev NUnfilled formula | MagpieData mean NsUnfilled formula | MagpieData maximum NdUnfilled formula | local_difference_in_Electronegativity | MagpieData mode GSvolume_pa _B | MagpieData avg_dev GSbandgap formula | mean neighbor distance variation | MagpieData mean NValence formula | MagpieData mean NpValence formula | local_difference_in_GSbandgap_allsites | local_difference_in_CovalentRadius | std_dev ewald_site_energy | EnB/SIrB-6*EnX/SIrX | EnB/SIrB | density | (EnB-6*EnX)/coval_r_B-6X | ewald_energy_per_atom | MagpieData mean Electronegativity formula | local_difference_in_CovalentRadius_allsites | SIr_B_SIr_X | MagpieData mean NUnfilled formula,0.08977016720504558,0.008275124403575007,0.0026168241036539424,0.023931084528241546,0.007145310789006121,0.002259545668303415,0.15303549203217803,0.02261023455673848,0.00714998396299412,0.9674033526461461,0.009484079004133013,0.0029991291162041796,0.08977016720504558,0.023931084528241546,0.15303549203217803,0.9674033526461461
6,32,MagpieData mean NUnfilled formula,EnB/rB-6*EnX/rX | MagpieData mean NdValence formula | local_difference_in_NdValence_allsites | local_difference_in_Electronegativity_allsites | MagpieData maximum GSbandgap formula | MagpieData minimum Electronegativity formula | Electronegativity_B-6X | MagpieData mode Electronegativity formula | MagpieData maximum NdValence formula | MagpieData range NUnfilled formula | MagpieData range NdValence formula | MagpieData range CovalentRadius formula | MagpieData avg_dev NUnfilled formula | MagpieData mean NsUnfilled formula | MagpieData maximum NdUnfilled formula | local_difference_in_Electronegativity | MagpieData mode GSvolume_pa _B | MagpieData avg_dev GSbandgap formula | mean neighbor distance variation | MagpieData mean NpValence formula | local_difference_in_GSbandgap_allsites | MagpieData mean NValence formula | local_difference_in_CovalentRadius | EnB/SIrB | std_dev ewald_site_energy | EnB/SIrB-6*EnX/SIrX | (EnB-6*EnX)/coval_r_B-6X | density | ewald_energy_per_atom | local_difference_in_CovalentRadius_allsites | MagpieData mean Electronegativity formula | MagpieData mean NUnfilled formula,0.0899894735618143,0.008144818420768966,0.00257561773381256,0.023725965259570422,0.0075600543971790736,0.0023906991129857107,0.15209042432153175,0.02438171629042642,0.007710175674177891,0.9676617825594842,0.010135262185207007,0.0032050513188229468,0.0899894735618143,0.023725965259570422,0.15209042432153175,0.9676617825594842
7,31,local_difference_in_CovalentRadius_allsites,EnB/rB-6*EnX/rX | MagpieData mean NdValence formula | local_difference_in_NdValence_allsites | local_difference_in_Electronegativity_allsites | MagpieData maximum GSbandgap formula | MagpieData minimum Electronegativity formula | Electronegativity_B-6X | MagpieData mode Electronegativity formula | MagpieData maximum NdValence formula | MagpieData range NUnfilled formula | MagpieData range CovalentRadius formula | MagpieData range NdValence formula | MagpieData avg_dev NUnfilled formula | MagpieData mean NsUnfilled formula | MagpieData maximum NdUnfilled formula | local_difference_in_Electronegativity | MagpieData mode GSvolume_pa _B | MagpieData avg_dev GSbandgap formula | mean neighbor distance variation | MagpieData mean NValence formula | local_difference_in_GSbandgap_allsites | EnB/SIrB | MagpieData mean NpValence formula | local_difference_in_CovalentRadius | EnB/SIrB-6*EnX/SIrX | std_dev ewald_site_energy | density | (EnB-6*EnX)/coval_r_B-6X | ewald_energy_per_atom | MagpieData mean Electronegativity formula | local_difference_in_CovalentRadius_allsites,0.09047706773248322,0.009135102164988078,0.0028887729499697595,0.02366796756042062,0.007466983721920728,0.0023612675812670855,0.15193141420110187,0.024182905931129192,0.007647306318396324,0.9677601843219499,0.010033319230001276,0.0031728141258370837,0.09047706773248322,0.02366796756042062,0.15193141420110187,0.9677601843219499
8,30,(EnB-6*EnX)/coval_r_B-6X,EnB/rB-6*EnX/rX | MagpieData mean NdValence formula | local_difference_in_NdValence_allsites | local_difference_in_Electronegativity_allsites | MagpieData maximum GSbandgap formula | MagpieData minimum Electronegativity formula | Electronegativity_B-6X | MagpieData mode Electronegativity formula | MagpieData range NdValence formula | MagpieData range NUnfilled formula | MagpieData maximum NdValence formula | MagpieData range CovalentRadius formula | MagpieData avg_dev NUnfilled formula | MagpieData mean NsUnfilled formula | MagpieData maximum NdUnfilled formula | local_difference_in_Electronegativity | MagpieData mode GSvolume_pa _B | MagpieData avg_dev GSbandgap formula | mean neighbor distance variation | MagpieData mean NValence formula | local_difference_in_CovalentRadius | MagpieData mean NpValence formula | EnB/SIrB | local_difference_in_GSbandgap_allsites | EnB/SIrB-6*EnX/SIrX | std_dev ewald_site_energy | density | ewald_energy_per_atom | MagpieData mean Electronegativity formula | (EnB-6*EnX)/coval_r_B-6X,0.08957215077083722,0.008841500786097975,0.002795928041823879,0.023690829319256,0.007802331722046547,0.0024673139301850874,0.15184887665379987,0.025154482269271132,0.00795454573332177,0.9677056871995899,0.010497246801501789,0.003319520905366308,0.08957215077083722,0.023690829319256,0.15184887665379987,0.9677056871995899
9,29,MagpieData mean Electronegativity formula,EnB/rB-6*EnX/rX | MagpieData mean NdValence formula | local_difference_in_NdValence_allsites | local_difference_in_Electronegativity_allsites | MagpieData maximum GSbandgap formula | MagpieData minimum Electronegativity formula | MagpieData mode Electronegativity formula | Electronegativity_B-6X | MagpieData maximum NdValence formula | MagpieData range CovalentRadius formula | MagpieData range NUnfilled formula | MagpieData range NdValence formula | MagpieData avg_dev NUnfilled formula | MagpieData mean NsUnfilled formula | MagpieData maximum NdUnfilled formula | local_difference_in_Electronegativity | MagpieData mode GSvolume_pa _B | MagpieData avg_dev GSbandgap formula | mean neighbor distance variation | local_difference_in_CovalentRadius | MagpieData mean NpValence formula | EnB/SIrB | MagpieData mean NValence formula | local_difference_in_GSbandgap_allsites | EnB/SIrB-6*EnX/SIrX | std_dev ewald_site_energy | density | ewald_energy_per_atom | MagpieData mean Electronegativity formula,0.08983293493656563,0.009413669841935543,0.0029768637841353566,0.0236701594189072,0.007381053865426389,0.002334094174713733,0.15194720216133667,0.024128969606037495,0.007630250154805418,0.9677349913027392,0.009953322220109301,0.003147516850110918,0.08983293493656563,0.0236701594189072,0.15194720216133667,0.9677349913027392
