number_removed,n_features,removed_feature,fold,mae,mse,rmse,r2,features
0,38,EnX/rX,1,0.07726043533276164,0.01434218027785607,0.11975884216982088,0.9803615855804356,EnB/rB-6*EnX/rX | MagpieData mean NdValence formula | MagpieData minimum Electronegativity formula | MagpieData maximum GSbandgap formula | MagpieData range CovalentRadius formula | Electronegativity_B-6X | MagpieData mode Electronegativity formula | MagpieData range NdValence formula | local_difference_in_Electronegativity | MagpieData maximum NdValence formula | MagpieData range NUnfilled formula | MagpieData avg_dev GSbandgap formula | MagpieData avg_dev NUnfilled formula | mean neighbor distance variation | MagpieData mean NsUnfilled formula | local_difference_in_CovalentRadius | MagpieData mean NValence formula | EnB/SIrB | MagpieData mode GSvolume_pa _B | MagpieData mean NpValence formula | MagpieData mean NUnfilled formula | MagpieData maximum NdUnfilled formula | density | std_dev ewald_site_energy | MagpieData mean Electronegativity formula | ewald_energy_per_atom | (EnB-6*EnX)/coval_r_B-6X | local_difference_in_Electronegativity_allsites | local_difference_in_CovalentRadius_allsites | local_difference_in_NdValence_allsites | local_difference_in_GSbandgap_allsites | EnB/SIrB-6*EnX/SIrX | EnX/SIrX | EnB/rB | EnX/rX | SIr_B_SIr_X | cr_B_cr_X | (EnB-6*EnX)/SIr_B-6X
0,38,EnX/rX,2,0.08168527466717966,0.017893282423211847,0.13376577448365426,0.9753323123426543,EnB/rB-6*EnX/rX | MagpieData mean NdValence formula | MagpieData minimum Electronegativity formula | MagpieData maximum GSbandgap formula | MagpieData range CovalentRadius formula | Electronegativity_B-6X | MagpieData mode Electronegativity formula | MagpieData range NdValence formula | local_difference_in_Electronegativity | MagpieData maximum NdValence formula | MagpieData range NUnfilled formula | MagpieData avg_dev GSbandgap formula | MagpieData avg_dev NUnfilled formula | mean neighbor distance variation | MagpieData mean NsUnfilled formula | local_difference_in_CovalentRadius | MagpieData mean NValence formula | EnB/SIrB | MagpieData mode GSvolume_pa _B | MagpieData mean NpValence formula | MagpieData mean NUnfilled formula | MagpieData maximum NdUnfilled formula | density | std_dev ewald_site_energy | MagpieData mean Electronegativity formula | ewald_energy_per_atom | (EnB-6*EnX)/coval_r_B-6X | local_difference_in_Electronegativity_allsites | local_difference_in_CovalentRadius_allsites | local_difference_in_NdValence_allsites | local_difference_in_GSbandgap_allsites | EnB/SIrB-6*EnX/SIrX | EnX/SIrX | EnB/rB | EnX/rX | SIr_B_SIr_X | cr_B_cr_X | (EnB-6*EnX)/SIr_B-6X
0,38,EnX/rX,3,0.09682968863219325,0.027847238339554888,0.1668749182458373,0.9616353885240247,EnB/rB-6*EnX/rX | MagpieData mean NdValence formula | MagpieData minimum Electronegativity formula | MagpieData maximum GSbandgap formula | MagpieData range CovalentRadius formula | Electronegativity_B-6X | MagpieData mode Electronegativity formula | MagpieData range NdValence formula | local_difference_in_Electronegativity | MagpieData maximum NdValence formula | MagpieData range NUnfilled formula | MagpieData avg_dev GSbandgap formula | MagpieData avg_dev NUnfilled formula | mean neighbor distance variation | MagpieData mean NsUnfilled formula | local_difference_in_CovalentRadius | MagpieData mean NValence formula | EnB/SIrB | MagpieData mode GSvolume_pa _B | MagpieData mean NpValence formula | MagpieData mean NUnfilled formula | MagpieData maximum NdUnfilled formula | density | std_dev ewald_site_energy | MagpieData mean Electronegativity formula | ewald_energy_per_atom | (EnB-6*EnX)/coval_r_B-6X | local_difference_in_Electronegativity_allsites | local_difference_in_CovalentRadius_allsites | local_difference_in_NdValence_allsites | local_difference_in_GSbandgap_allsites | EnB/SIrB-6*EnX/SIrX | EnX/SIrX | EnB/rB | EnX/rX | SIr_B_SIr_X | cr_B_cr_X | (EnB-6*EnX)/SIr_B-6X
0,38,EnX/rX,4,0.09117858658994522,0.020662313113993153,0.14374391505031842,0.9740813778273969,EnB/rB-6*EnX/rX | MagpieData mean NdValence formula | MagpieData minimum Electronegativity formula | MagpieData maximum GSbandgap formula | MagpieData range CovalentRadius formula | Electronegativity_B-6X | MagpieData mode Electronegativity formula | MagpieData range NdValence formula | local_difference_in_Electronegativity | MagpieData maximum NdValence formula | MagpieData range NUnfilled formula | MagpieData avg_dev GSbandgap formula | MagpieData avg_dev NUnfilled formula | mean neighbor distance variation | MagpieData mean NsUnfilled formula | local_difference_in_CovalentRadius | MagpieData mean NValence formula | EnB/SIrB | MagpieData mode GSvolume_pa _B | MagpieData mean NpValence formula | MagpieData mean NUnfilled formula | MagpieData maximum NdUnfilled formula | density | std_dev ewald_site_energy | MagpieData mean Electronegativity formula | ewald_energy_per_atom | (EnB-6*EnX)/coval_r_B-6X | local_difference_in_Electronegativity_allsites | local_difference_in_CovalentRadius_allsites | local_difference_in_NdValence_allsites | local_difference_in_GSbandgap_allsites | EnB/SIrB-6*EnX/SIrX | EnX/SIrX | EnB/rB | EnX/rX | SIr_B_SIr_X | cr_B_cr_X | (EnB-6*EnX)/SIr_B-6X
0,38,EnX/rX,5,0.10122756032901213,0.03993750765294687,0.19984370806444438,0.9484211194834888,EnB/rB-6*EnX/rX | MagpieData mean NdValence formula | MagpieData minimum Electronegativity formula | MagpieData maximum GSbandgap formula | MagpieData range CovalentRadius formula | Electronegativity_B-6X | MagpieData mode Electronegativity formula | MagpieData range NdValence formula | local_difference_in_Electronegativity | MagpieData maximum NdValence formula | MagpieData range NUnfilled formula | MagpieData avg_dev GSbandgap formula | MagpieData avg_dev NUnfilled formula | mean neighbor distance variation | MagpieData mean NsUnfilled formula | local_difference_in_CovalentRadius | MagpieData mean NValence formula | EnB/SIrB | MagpieData mode GSvolume_pa _B | MagpieData mean NpValence formula | MagpieData mean NUnfilled formula | MagpieData maximum NdUnfilled formula | density | std_dev ewald_site_energy | MagpieData mean Electronegativity formula | ewald_energy_per_atom | (EnB-6*EnX)/coval_r_B-6X | local_difference_in_Electronegativity_allsites | local_difference_in_CovalentRadius_allsites | local_difference_in_NdValence_allsites | local_difference_in_GSbandgap_allsites | EnB/SIrB-6*EnX/SIrX | EnX/SIrX | EnB/rB | EnX/rX | SIr_B_SIr_X | cr_B_cr_X | (EnB-6*EnX)/SIr_B-6X
0,38,EnX/rX,6,0.0895423086291045,0.0258573939935072,0.1608023444900826,0.9643923309191201,EnB/rB-6*EnX/rX | MagpieData mean NdValence formula | MagpieData minimum Electronegativity formula | MagpieData maximum GSbandgap formula | MagpieData range CovalentRadius formula | Electronegativity_B-6X | MagpieData mode Electronegativity formula | MagpieData range NdValence formula | local_difference_in_Electronegativity | MagpieData maximum NdValence formula | MagpieData range NUnfilled formula | MagpieData avg_dev GSbandgap formula | MagpieData avg_dev NUnfilled formula | mean neighbor distance variation | MagpieData mean NsUnfilled formula | local_difference_in_CovalentRadius | MagpieData mean NValence formula | EnB/SIrB | MagpieData mode GSvolume_pa _B | MagpieData mean NpValence formula | MagpieData mean NUnfilled formula | MagpieData maximum NdUnfilled formula | density | std_dev ewald_site_energy | MagpieData mean Electronegativity formula | ewald_energy_per_atom | (EnB-6*EnX)/coval_r_B-6X | local_difference_in_Electronegativity_allsites | local_difference_in_CovalentRadius_allsites | local_difference_in_NdValence_allsites | local_difference_in_GSbandgap_allsites | EnB/SIrB-6*EnX/SIrX | EnX/SIrX | EnB/rB | EnX/rX | SIr_B_SIr_X | cr_B_cr_X | (EnB-6*EnX)/SIr_B-6X
0,38,EnX/rX,7,0.08791752686147472,0.023842960042685015,0.1544116577292175,0.9666254999569488,EnB/rB-6*EnX/rX | MagpieData mean NdValence formula | MagpieData minimum Electronegativity formula | MagpieData maximum GSbandgap formula | MagpieData range CovalentRadius formula | Electronegativity_B-6X | MagpieData mode Electronegativity formula | MagpieData range NdValence formula | local_difference_in_Electronegativity | MagpieData maximum NdValence formula | MagpieData range NUnfilled formula | MagpieData avg_dev GSbandgap formula | MagpieData avg_dev NUnfilled formula | mean neighbor distance variation | MagpieData mean NsUnfilled formula | local_difference_in_CovalentRadius | MagpieData mean NValence formula | EnB/SIrB | MagpieData mode GSvolume_pa _B | MagpieData mean NpValence formula | MagpieData mean NUnfilled formula | MagpieData maximum NdUnfilled formula | density | std_dev ewald_site_energy | MagpieData mean Electronegativity formula | ewald_energy_per_atom | (EnB-6*EnX)/coval_r_B-6X | local_difference_in_Electronegativity_allsites | local_difference_in_CovalentRadius_allsites | local_difference_in_NdValence_allsites | local_difference_in_GSbandgap_allsites | EnB/SIrB-6*EnX/SIrX | EnX/SIrX | EnB/rB | EnX/rX | SIr_B_SIr_X | cr_B_cr_X | (EnB-6*EnX)/SIr_B-6X
0,38,EnX/rX,8,0.09388551697272168,0.021210531729141845,0.14563835940143602,0.9698419396846205,EnB/rB-6*EnX/rX | MagpieData mean NdValence formula | MagpieData minimum Electronegativity formula | MagpieData maximum GSbandgap formula | MagpieData range CovalentRadius formula | Electronegativity_B-6X | MagpieData mode Electronegativity formula | MagpieData range NdValence formula | local_difference_in_Electronegativity | MagpieData maximum NdValence formula | MagpieData range NUnfilled formula | MagpieData avg_dev GSbandgap formula | MagpieData avg_dev NUnfilled formula | mean neighbor distance variation | MagpieData mean NsUnfilled formula | local_difference_in_CovalentRadius | MagpieData mean NValence formula | EnB/SIrB | MagpieData mode GSvolume_pa _B | MagpieData mean NpValence formula | MagpieData mean NUnfilled formula | MagpieData maximum NdUnfilled formula | density | std_dev ewald_site_energy | MagpieData mean Electronegativity formula | ewald_energy_per_atom | (EnB-6*EnX)/coval_r_B-6X | local_difference_in_Electronegativity_allsites | local_difference_in_CovalentRadius_allsites | local_difference_in_NdValence_allsites | local_difference_in_GSbandgap_allsites | EnB/SIrB-6*EnX/SIrX | EnX/SIrX | EnB/rB | EnX/rX | SIr_B_SIr_X | cr_B_cr_X | (EnB-6*EnX)/SIr_B-6X
0,38,EnX/rX,9,0.1027810697886649,0.033443392160802006,0.18287534596222096,0.9529436377613624,EnB/rB-6*EnX/rX | MagpieData mean NdValence formula | MagpieData minimum Electronegativity formula | MagpieData maximum GSbandgap formula | MagpieData range CovalentRadius formula | Electronegativity_B-6X | MagpieData mode Electronegativity formula | MagpieData range NdValence formula | local_difference_in_Electronegativity | MagpieData maximum NdValence formula | MagpieData range NUnfilled formula | MagpieData avg_dev GSbandgap formula | MagpieData avg_dev NUnfilled formula | mean neighbor distance variation | MagpieData mean NsUnfilled formula | local_difference_in_CovalentRadius | MagpieData mean NValence formula | EnB/SIrB | MagpieData mode GSvolume_pa _B | MagpieData mean NpValence formula | MagpieData mean NUnfilled formula | MagpieData maximum NdUnfilled formula | density | std_dev ewald_site_energy | MagpieData mean Electronegativity formula | ewald_energy_per_atom | (EnB-6*EnX)/coval_r_B-6X | local_difference_in_Electronegativity_allsites | local_difference_in_CovalentRadius_allsites | local_difference_in_NdValence_allsites | local_difference_in_GSbandgap_allsites | EnB/SIrB-6*EnX/SIrX | EnX/SIrX | EnB/rB | EnX/rX | SIr_B_SIr_X | cr_B_cr_X | (EnB-6*EnX)/SIr_B-6X
0,38,EnX/rX,10,0.08251004839668241,0.014922605126912554,0.12215811527243106,0.9795440571875443,EnB/rB-6*EnX/rX | MagpieData mean NdValence formula | MagpieData minimum Electronegativity formula | MagpieData maximum GSbandgap formula | MagpieData range CovalentRadius formula | Electronegativity_B-6X | MagpieData mode Electronegativity formula | MagpieData range NdValence formula | local_difference_in_Electronegativity | MagpieData maximum NdValence formula | MagpieData range NUnfilled formula | MagpieData avg_dev GSbandgap formula | MagpieData avg_dev NUnfilled formula | mean neighbor distance variation | MagpieData mean NsUnfilled formula | local_difference_in_CovalentRadius | MagpieData mean NValence formula | EnB/SIrB | MagpieData mode GSvolume_pa _B | MagpieData mean NpValence formula | MagpieData mean NUnfilled formula | MagpieData maximum NdUnfilled formula | density | std_dev ewald_site_energy | MagpieData mean Electronegativity formula | ewald_energy_per_atom | (EnB-6*EnX)/coval_r_B-6X | local_difference_in_Electronegativity_allsites | local_difference_in_CovalentRadius_allsites | local_difference_in_NdValence_allsites | local_difference_in_GSbandgap_allsites | EnB/SIrB-6*EnX/SIrX | EnX/SIrX | EnB/rB | EnX/rX | SIr_B_SIr_X | cr_B_cr_X | (EnB-6*EnX)/SIr_B-6X
